Inflectional word	Root word
শেখায়	শেখানো
শোনে	শোনা
শুনেছে	শোনা
শুনে	শোনা
শোয়	শোয়া
শুয়েছে	শোয়া
শুয়ে	শোয়া
সরায়	সরানো
সরিয়েছে	সরানো
সরায়	সরানো
সাঁতরায়	সাঁতরানো
সাঁতরিয়েছে	সাঁতরানো
সাঁতরায়	সাঁতরানো
সাঁতরায়	সাঁতার
সাঁতরিয়েছে	সাঁতার
সাঁতরায়	সাঁতার
সাজায়	সাজানো
সাজিয়েছে	সাজানো
সাজায়	সাজানো
হয়	হওয়া
হয়েছে	হওয়া
হয়ে	হওয়া
হড়কায়	হড়কানো
হড়কিয়েছে	হড়কানো
হড়কায়	হড়কানো
হাঁকায়	হাঁকানো
হাঁকিয়েছে	হাঁকানো
হাঁকায়	হাঁকানো
হাঁটে	হাঁটা
হেঁটেছে	হাঁটা
হেঁটে	হাঁটা
হাগে	হাগা
হেগেছে	হাগা
হেগে	হাগা
হারে	হারা
হেরেছে	হারা
হেরে	হারা
হারায়	হারানো
হারিয়েছে	হারানো
হারায়	হারানো
হাসে	হাসা
হেসেছে	হাসা
হেসে	হাসা
হাসায়	হাসানো
হাসিয়েছে	হাসানো
হাসায়	হাসানো
